repo_name,language,created_at,updated_at,stargazers_count,forks_count,open_issues_count,watchers_count,size
PowerToys,C#,2019-05-01T17:44:02Z,2026-02-08T08:48:44Z,129119,7677,8115,129119,481851
v2rayN,C#,2019-07-30T03:47:24Z,2026-02-08T08:49:58Z,96441,14164,7,96441,45821
shadowsocks-windows,C#,2013-01-14T07:54:16Z,2026-02-08T06:28:13Z,59238,16317,199,59238,13489
PowerShell,C#,2016-01-13T23:41:35Z,2026-02-08T07:25:24Z,51393,8163,1389,51393,102255
jellyfin,C#,2018-12-09T06:36:45Z,2026-02-08T08:24:59Z,48370,4397,827,48370,71088
Files,C#,2019-01-04T18:19:14Z,2026-02-08T08:32:32Z,41755,2591,514,41755,266702
aspnetcore,C#,2014-03-11T06:09:42Z,2026-02-07T18:18:37Z,37670,10570,3684,37670,371976
RevokeMsgPatcher,C#,2019-07-21T15:12:52Z,2026-02-08T08:52:24Z,36744,3919,47,36744,3789
ShareX,C#,2013-10-08T23:32:10Z,2026-02-08T05:01:43Z,35552,3600,589,35552,64737
DevToys,C#,2021-09-29T01:40:41Z,2026-02-08T08:56:08Z,30918,1706,315,30918,229286
Avalonia,C#,2013-12-05T20:13:21Z,2026-02-08T08:01:48Z,30015,2599,1913,30015,197863
dnSpy,C#,2015-07-01T16:05:10Z,2026-02-08T08:35:39Z,28930,5464,185,28930,35047
semantic-kernel,C#,2023-02-27T17:39:42Z,2026-02-08T07:19:57Z,27190,4457,543,27190,94925
ScreenToGif,C#,2016-08-02T01:28:59Z,2026-02-08T08:13:56Z,26352,2321,314,26352,25866
WaveFunctionCollapse,C#,2016-09-30T11:53:17Z,2026-02-07T17:33:41Z,24666,1315,9,24666,31099
ILSpy,C#,2011-02-04T11:24:20Z,2026-02-08T08:57:41Z,24552,3602,221,24552,45408
SteamTools,C#,2020-12-15T13:52:11Z,2026-02-08T08:49:50Z,24442,1588,1097,24442,268000
eShopOnContainers,C#,2016-10-05T22:35:23Z,2026-02-08T07:15:52Z,24436,10188,71,24436,661091
maui,C#,2020-05-08T18:11:05Z,2026-02-07T23:39:38Z,23161,1910,4461,23161,929553
CodeHub,C#,2013-07-23T22:19:57Z,2026-02-01T09:45:15Z,22671,610,237,22671,75636
QuickLook,C#,2017-04-12T14:57:38Z,2026-02-08T08:32:44Z,22306,1226,196,22306,337059
awesome-dotnet-core,C#,2016-03-17T03:52:09Z,2026-02-08T02:02:36Z,21072,2954,190,21072,1368
UniGetUI,C#,2021-06-15T12:57:58Z,2026-02-08T08:24:29Z,20740,700,275,20740,896700
roslyn,C#,2015-01-11T02:39:03Z,2026-02-08T03:00:26Z,20213,4219,6051,20213,2471929
PEASS-ng,C#,2019-01-13T19:58:24Z,2026-02-08T05:14:53Z,19258,3341,0,19258,64553
ml-agents,C#,2017-09-08T21:09:04Z,2026-02-08T06:09:45Z,19136,4418,54,19136,3026872
CMWTAT_Digital_Edition,C#,2018-05-27T13:45:02Z,2026-02-08T03:43:45Z,18877,2164,31,18877,59447
Dapper,C#,2011-04-14T08:42:59Z,2026-02-06T11:50:57Z,18207,3688,538,18207,49973
lively,C#,2019-08-08T05:57:26Z,2026-02-08T06:47:08Z,18154,1234,343,18154,313665
server,C#,2015-11-23T23:45:33Z,2026-02-08T08:32:20Z,18016,1525,181,18016,44866
optimizer,C#,2017-09-13T07:49:36Z,2026-02-08T02:55:04Z,18015,1169,92,18015,47157
CleanArchitecture,C#,2016-09-30T14:19:20Z,2026-02-07T23:36:03Z,17971,3058,26,17971,3551
osu,C#,2014-07-31T04:26:30Z,2026-02-08T05:02:06Z,17888,2609,1728,17888,201735
ContextMenuManager,C#,2020-10-15T06:27:04Z,2026-02-08T08:49:45Z,17859,785,163,17859,1843
runtime,C#,2019-09-24T23:36:39Z,2026-02-08T08:26:41Z,17541,5328,8397,17541,1053475
netch,C#,2019-06-25T09:55:30Z,2026-02-08T07:57:45Z,17398,2827,1,17398,11387
Bulk-Crap-Uninstaller,C#,2016-08-01T15:17:05Z,2026-02-08T08:37:56Z,17390,766,138,17390,10408
OpenRA,C#,2010-10-04T07:38:05Z,2026-02-08T07:58:50Z,16400,2856,1560,16400,350296
Lean,C#,2014-11-28T04:20:19Z,2026-02-08T07:57:33Z,16316,4291,246,16316,583019
MaterialDesignInXamlToolkit,C#,2015-02-07T23:30:48Z,2026-02-08T06:48:47Z,16024,3491,166,16024,78472
N_m3u8DL-CLI,C#,2019-04-18T13:43:49Z,2026-02-08T02:44:58Z,15788,2289,257,15788,6399
AssetStudio,C#,2016-08-02T11:59:11Z,2026-02-07T16:29:58Z,15043,2864,184,15043,40176
Jackett,C#,2015-10-29T16:23:19Z,2026-02-08T07:51:56Z,14866,1471,226,14866,43399
efcore,C#,2014-01-23T00:52:01Z,2026-02-07T20:43:26Z,14564,3359,2457,14564,217173
duplicati,C#,2014-08-05T08:28:16Z,2026-02-08T07:40:13Z,14183,1029,713,14183,191478
abp,C#,2016-12-03T22:56:24Z,2026-02-08T06:18:17Z,14140,3669,379,14140,2190649
Polly,C#,2013-05-05T04:40:04Z,2026-02-07T10:36:06Z,14119,1265,6,14119,53366
YoutubeDownloader,C#,2018-11-16T11:30:50Z,2026-02-08T07:00:54Z,14115,1768,24,14115,1363
QuestPDF,C#,2021-01-04T22:47:16Z,2026-02-08T06:20:37Z,13788,753,247,13788,901689
Flow.Launcher,C#,2020-04-21T08:12:15Z,2026-02-08T08:57:43Z,13716,547,276,13716,97430
winsw,C#,2010-02-03T02:49:39Z,2026-02-08T06:52:55Z,13685,1669,232,13685,3547
FileConverter,C#,2015-04-06T10:15:53Z,2026-02-08T08:47:19Z,13537,847,288,13537,213007
EverythingToolbar,C#,2020-09-13T17:20:21Z,2026-02-08T07:57:48Z,13407,526,36,13407,26717
modular-monolith-with-ddd,C#,2019-08-23T00:12:03Z,2026-02-08T03:12:11Z,13341,2113,67,13341,8423
BBDown,C#,2020-07-26T11:43:28Z,2026-02-08T08:51:47Z,13308,1567,240,13308,18903
Sonarr,C#,2011-09-27T05:57:16Z,2026-02-08T08:50:06Z,13234,1740,92,13234,301001
MonoGame,C#,2011-04-07T00:23:40Z,2026-02-08T08:31:50Z,13139,3037,726,13139,98379
AspNetCore.Docs,C#,2014-12-19T17:38:02Z,2026-02-08T06:51:40Z,13063,24983,629,13063,864536
ArchiSteamFarm,C#,2015-10-25T05:12:33Z,2026-02-08T08:38:59Z,13039,1099,2,13039,238818
Radarr,C#,2016-12-25T11:38:26Z,2026-02-08T08:50:07Z,13015,1127,425,13015,315479
UnityCsReference,C#,2018-03-23T13:08:32Z,2026-02-08T08:50:38Z,12699,2548,17,12699,71743
csharplang,C#,2016-12-09T01:45:27Z,2026-02-08T03:00:37Z,12490,1064,273,12490,15520
better-genshin-impact,C#,2023-08-27T01:02:45Z,2026-02-08T08:42:13Z,12475,872,578,12475,366796
Playnite,C#,2017-03-25T19:16:06Z,2026-02-08T07:34:24Z,12414,603,687,12414,72643
ImageGlass,C#,2012-12-30T16:13:14Z,2026-02-08T06:57:02Z,12189,668,244,12189,476401
g-helper,C#,2023-02-10T23:11:28Z,2026-02-08T06:45:27Z,12151,440,128,12151,40876
PDFPatcher,C#,2021-12-24T12:30:42Z,2026-02-08T07:42:52Z,12127,1542,103,12127,65401
subtitleedit,C#,2014-02-03T08:17:41Z,2026-02-08T07:25:14Z,12098,1159,354,12098,476027
aspnetboilerplate,C#,2013-08-18T20:45:08Z,2026-02-05T13:43:47Z,11997,3839,60,11997,65096
MediatR,C#,2014-03-03T15:01:22Z,2026-02-08T08:43:45Z,11836,2197,7,11836,6063
garnet,C#,2023-08-21T21:54:58Z,2026-02-07T10:06:18Z,11730,633,41,11730,2198178
mono,C#,2010-07-22T18:06:36Z,2026-02-07T12:33:39Z,11423,3825,2273,11423,579418
BenchmarkDotNet,C#,2013-08-18T06:17:48Z,2026-02-07T01:31:20Z,11346,1042,199,11346,67461
LKY_OfficeTools,C#,2022-10-27T14:58:30Z,2026-02-08T08:18:55Z,11343,1036,3,11343,49445
Locale-Emulator,C#,2013-03-17T13:51:51Z,2026-02-07T06:07:26Z,11280,812,212,11280,1173
Newtonsoft.Json,C#,2012-02-18T07:30:28Z,2026-02-06T08:22:57Z,11259,3315,812,11259,27015
choco,C#,2014-12-30T22:12:11Z,2026-02-08T07:32:52Z,11244,931,507,11244,45219
spectre.console,C#,2020-07-21T09:59:20Z,2026-02-08T06:24:58Z,11153,633,311,11153,15398
Dependencies,C#,2017-06-25T15:00:10Z,2026-02-08T08:13:10Z,11137,899,139,11137,15341
basic-computer-games,C#,2021-01-30T21:28:22Z,2026-02-08T05:50:05Z,11042,1339,4,11042,78440
Terminal.Gui,C#,2017-12-11T03:23:45Z,2026-02-07T21:39:05Z,10724,752,88,10724,124424
orleans,C#,2014-12-19T14:32:50Z,2026-02-06T22:18:42Z,10712,2121,729,10712,71264
eShopOnWeb,C#,2017-02-28T02:39:37Z,2026-02-07T09:07:06Z,10628,5930,20,10628,61146
Captura,C#,2015-08-29T10:30:45Z,2026-02-08T06:19:14Z,10567,1965,120,10567,5730
mRemoteNG,C#,2010-01-06T15:53:17Z,2026-02-07T22:14:32Z,10554,1547,854,10554,268585
EarTrumpet,C#,2015-07-11T08:43:37Z,2026-02-08T08:36:12Z,10548,558,100,10548,35556
UniTask,C#,2019-05-19T16:09:55Z,2026-02-07T20:18:06Z,10484,966,23,10484,6131
practical-aspnetcore,C#,2016-07-27T08:23:40Z,2026-02-07T19:48:59Z,10346,1416,175,10346,45197
awesome-software-architecture,C#,2021-02-06T22:17:38Z,2026-02-07T10:26:43Z,10276,869,26,10276,3227
AutoMapper,C#,2010-02-06T15:17:58Z,2026-02-08T07:08:32Z,10213,2384,6,10213,127450
CefSharp,C#,2010-12-03T15:23:23Z,2026-02-06T17:59:11Z,10204,2952,65,10204,290575
DiscordChatExporter,C#,2017-07-12T17:18:19Z,2026-02-08T04:49:24Z,10149,895,22,10149,3608
MudBlazor,C#,2020-08-18T10:47:27Z,2026-02-08T08:06:59Z,10112,1589,1000,10112,44105
DotNetGuide,C#,2020-10-08T14:54:22Z,2026-02-08T07:12:25Z,10054,1432,13,10054,5670
eShop,C#,2023-10-18T23:00:45Z,2026-02-08T03:11:10Z,10033,3427,170,10033,25392
Hangfire,C#,2013-08-06T09:43:04Z,2026-02-06T21:42:57Z,9997,1749,943,9997,39086
nopCommerce,C#,2014-04-09T05:47:50Z,2026-02-07T10:22:14Z,9970,5863,181,9970,1550988
Notepads,C#,2019-06-01T01:20:33Z,2026-02-08T04:52:46Z,9844,526,435,9844,40432
RunCat365,C#,2020-08-06T16:27:09Z,2026-02-08T08:50:21Z,9835,797,10,9835,1229
RestSharp,C#,2009-11-16T02:01:45Z,2026-02-07T00:28:08Z,9823,2326,36,9823,41611
uno,C#,2018-05-07T11:52:27Z,2026-02-08T01:16:08Z,9812,836,1489,9812,312256
Kavita,C#,2020-12-12T22:23:54Z,2026-02-08T04:53:57Z,9800,556,209,9800,333211
MahApps.Metro,C#,2011-10-16T04:16:10Z,2026-02-05T08:57:27Z,9766,2448,106,9766,121532
Quasar,C#,2014-07-08T12:27:59Z,2026-02-08T03:16:08Z,9713,2647,138,9713,5205
ET,C#,2010-06-27T15:50:52Z,2026-02-06T18:37:20Z,9664,3235,86,9664,164606
imewlconverter,C#,2012-04-12T04:03:25Z,2026-02-08T07:12:56Z,9663,695,79,9663,64902
FluentValidation,C#,2009-12-20T19:17:03Z,2026-02-07T14:28:43Z,9621,1260,2,9621,20034
Bogus,C#,2015-06-06T18:28:14Z,2026-02-06T05:01:54Z,9589,539,81,9589,6417
FluentTerminal,C#,2018-01-21T09:45:11Z,2026-02-07T12:51:23Z,9571,453,254,9571,18893
DriverStoreExplorer,C#,2016-06-15T04:03:33Z,2026-02-08T08:06:00Z,9484,498,31,9484,1989
yarp,C#,2020-03-05T18:10:21Z,2026-02-08T07:18:31Z,9410,909,177,9410,23274
refit,C#,2013-07-22T20:11:57Z,2026-02-07T22:42:05Z,9391,776,201,9391,16056
Humanizer,C#,2012-05-03T12:01:45Z,2026-02-08T02:59:18Z,9383,1016,191,9383,9392
SignalR,C#,2011-07-22T03:52:19Z,2026-02-03T07:38:43Z,9366,2254,70,9366,44685
LiteDB,C#,2014-08-25T13:49:30Z,2026-02-07T02:15:02Z,9337,1320,746,9337,47000
machinelearning,C#,2018-05-03T16:20:42Z,2026-02-06T17:41:10Z,9323,1941,990,9323,101646
wpfui,C#,2021-07-24T23:09:19Z,2026-02-08T02:34:25Z,9135,931,405,9135,46588
StockSharp,C#,2014-12-08T07:53:44Z,2026-02-08T08:33:16Z,9111,2054,9,9111,1979223
Windows-Auto-Night-Mode,C#,2018-11-17T21:19:37Z,2026-02-08T04:33:07Z,9096,292,75,9096,64432
Unity3DTraining,C#,2016-04-25T14:37:08Z,2026-02-07T12:10:15Z,8828,2095,7,8828,753733
WeiXinMPSDK,C#,2013-01-11T13:52:44Z,2026-02-07T05:20:25Z,8819,4376,248,8819,155791
jynew,C#,2021-05-12T09:32:49Z,2026-02-06T22:19:11Z,8804,1850,42,8804,5334068
Ocelot,C#,2016-06-29T20:35:24Z,2026-02-06T08:13:57Z,8690,1690,61,8690,7867
Il2CppDumper,C#,2016-12-30T18:29:45Z,2026-02-08T08:15:32Z,8595,1710,133,8595,1005
