repo_name,language,created_at,updated_at,stargazers_count,forks_count,open_issues_count,watchers_count,size
tensorflow,C++,2015-11-07T01:19:20Z,2026-02-08T07:48:55Z,193656,75214,3326,193656,1258422
react-native,C++,2015-01-09T18:10:16Z,2026-02-08T07:57:57Z,125314,25078,1177,125314,960765
electron,C++,2013-04-12T01:47:36Z,2026-02-08T07:58:23Z,120039,16976,896,120039,188614
godot,C++,2014-01-04T16:05:36Z,2026-02-08T08:13:20Z,106443,24274,17495,106443,1761289
terminal,C++,2017-08-11T18:38:22Z,2026-02-08T08:17:09Z,101742,9067,1701,101742,160626
llama.cpp,C++,2023-03-10T18:58:00Z,2026-02-08T08:36:47Z,94609,14805,1076,94609,292267
bitcoin,C++,2010-12-19T15:16:43Z,2026-02-08T07:52:40Z,88004,38865,735,88004,303304
opencv,C++,2012-07-19T09:40:17Z,2026-02-08T07:49:56Z,86100,56528,2732,86100,553252
gpt4all,C++,2023-03-27T18:49:32Z,2026-02-08T03:06:52Z,77113,8323,753,77113,44678
tesseract,C++,2014-08-12T18:04:59Z,2026-02-08T03:24:15Z,72289,10488,463,72289,53849
imgui,C++,2014-07-21T14:29:47Z,2026-02-08T07:53:39Z,71214,11528,1207,71214,121263
protobuf,C++,2014-08-26T15:52:15Z,2026-02-08T08:33:12Z,70657,16031,229,70657,211255
swift,C++,2015-10-23T21:15:07Z,2026-02-08T06:24:46Z,69657,10655,8640,69657,1312484
ladybird,C++,2024-05-30T09:18:10Z,2026-02-08T08:23:07Z,58428,2659,629,58428,410298
ImHex,C++,2020-11-10T14:27:00Z,2026-02-08T04:59:00Z,52555,2337,316,52555,51299
json,C++,2013-07-04T08:47:49Z,2026-02-08T05:42:11Z,48799,7307,100,48799,237659
x64dbg,C++,2015-04-11T20:48:23Z,2026-02-08T00:49:39Z,47700,2667,577,47700,63115
whisper.cpp,C++,2022-09-25T18:26:37Z,2026-02-08T07:42:30Z,46540,5188,1129,46540,33321
ClickHouse,C++,2016-06-02T08:28:18Z,2026-02-08T08:27:27Z,45720,8048,5438,45720,3690246
grpc,C++,2014-12-08T18:58:53Z,2026-02-08T07:09:31Z,44322,11046,1171,44322,592245
TrafficMonitor,C++,2017-07-30T02:51:17Z,2026-02-08T07:44:12Z,43029,3591,1244,43029,16265
CPlusPlusThings,C++,2019-07-14T08:45:45Z,2026-02-08T07:18:38Z,42846,8834,17,42846,1322
aria2,C++,2010-11-27T09:41:48Z,2026-02-07T20:45:06Z,39973,3814,1136,39973,31486
faiss,C++,2017-02-07T16:07:05Z,2026-02-08T06:55:31Z,39024,4219,281,39024,257349
leveldb,C++,2014-08-27T21:17:52Z,2026-02-08T07:01:01Z,38804,8156,371,38804,1672
googletest,C++,2015-07-28T15:07:53Z,2026-02-08T08:20:06Z,38198,10689,516,38198,13939
interview,C++,2018-02-09T09:49:48Z,2026-02-08T08:13:42Z,37497,8129,2,37497,5713
duckdb,C++,2018-06-26T15:04:45Z,2026-02-08T08:19:25Z,35942,2912,605,35942,405327
aseprite,C++,2014-08-19T23:44:50Z,2026-02-08T07:38:39Z,35614,7759,1899,35614,46640
qBittorrent,C++,2012-02-04T09:37:46Z,2026-02-08T06:15:49Z,35406,4568,2483,35406,292165
caffe,C++,2013-09-12T18:39:48Z,2026-02-05T13:40:18Z,34835,18571,1176,34835,76170
Sunshine,C++,2021-12-15T23:38:57Z,2026-02-08T08:02:53Z,34282,1678,89,34282,57071
C-Plus-Plus,C++,2016-07-16T10:19:45Z,2026-02-08T07:12:30Z,33816,7714,28,33816,140614
Hyprland,C++,2022-03-16T19:49:13Z,2026-02-08T08:25:37Z,33769,1554,154,33769,73782
openpose,C++,2017-04-24T14:06:31Z,2026-02-08T05:55:15Z,33762,8058,358,33762,86496
mediapipe,C++,2019-06-13T19:16:41Z,2026-02-08T08:16:03Z,33684,5789,604,33684,606439
carbon-lang,C++,2020-04-27T21:45:16Z,2026-02-07T15:48:57Z,33622,1521,202,33622,89055
serenity,C++,2018-12-02T19:28:41Z,2026-02-08T07:08:26Z,32889,3299,735,32889,240637
rocksdb,C++,2012-11-30T06:16:18Z,2026-02-08T05:45:04Z,31518,6730,1404,31518,234644
WSL,C++,2016-04-06T17:32:56Z,2026-02-08T07:31:04Z,31047,1611,960,31047,36252
calculator,C++,2019-01-28T17:55:49Z,2026-02-08T01:41:28Z,30857,5708,451,30857,39747
