repo_name,language,created_at,updated_at,stargazers_count,forks_count,open_issues_count,watchers_count,size
awesome-go,Go,2014-07-06T13:42:15Z,2026-02-08T08:28:34Z,164539,12954,175,164539,10844
ollama,Go,2023-06-26T19:39:32Z,2026-02-08T08:37:31Z,162103,14493,2455,162103,73401
go,Go,2014-08-19T04:33:40Z,2026-02-08T08:36:09Z,132336,18803,9801,132336,425614
kubernetes,Go,2014-06-06T22:56:04Z,2026-02-08T07:11:45Z,120348,42405,2604,120348,1441543
frp,Go,2015-12-21T15:24:59Z,2026-02-08T08:30:08Z,104297,14868,49,104297,31346
gin,Go,2014-06-16T23:57:25Z,2026-02-08T08:28:02Z,87924,8553,885,87924,10494
hugo,Go,2013-07-04T15:26:26Z,2026-02-08T07:26:12Z,86454,8187,282,86454,136038
syncthing,Go,2013-11-26T09:48:21Z,2026-02-08T04:47:06Z,79712,4922,402,79712,124312
fzf,Go,2013-10-23T16:04:23Z,2026-02-08T08:07:39Z,77622,2692,323,77622,7513
lazygit,Go,2018-05-19T00:53:06Z,2026-02-08T08:11:55Z,71894,2487,886,71894,151715
moby,Go,2013-01-18T18:10:57Z,2026-02-08T05:26:21Z,71456,18898,3786,71456,254296
caddy,Go,2015-01-13T19:45:03Z,2026-02-08T07:34:19Z,69699,4621,256,69699,20306
node,Go,2023-02-01T13:55:02Z,2026-02-07T17:48:37Z,68784,3255,92,68784,3096
act,Go,2019-01-02T19:53:43Z,2026-02-08T07:34:24Z,68626,1842,282,68626,10402
prometheus,Go,2012-11-24T11:14:12Z,2026-02-08T07:48:56Z,62597,10164,770,62597,274842
traefik,Go,2015-09-13T19:04:02Z,2026-02-08T08:12:21Z,61501,5803,741,61501,153751
minio,Go,2015-01-14T19:23:58Z,2026-02-08T08:15:36Z,60142,6957,79,60142,135984
mkcert,Go,2018-06-25T05:33:03Z,2026-02-08T05:12:03Z,57985,3047,165,57985,1799
memos,Go,2021-12-08T15:30:18Z,2026-02-08T08:18:46Z,56676,4081,61,56676,34657
pocketbase,Go,2022-07-05T06:06:21Z,2026-02-08T08:17:51Z,55950,3095,21,55950,125105
rclone,Go,2014-03-16T16:19:57Z,2026-02-08T07:50:34Z,55406,4889,1138,55406,218728
gitea,Go,2016-11-01T02:13:26Z,2026-02-08T08:25:35Z,53607,6376,2847,53607,324222
dive,Go,2018-05-13T15:44:01Z,2026-02-08T01:34:08Z,53287,1942,193,53287,6927
etcd,Go,2013-07-06T21:57:21Z,2026-02-08T08:13:38Z,51474,10317,200,51474,94401
go-ethereum,Go,2013-12-26T13:05:46Z,2026-02-08T08:15:51Z,50792,21775,382,50792,232454
lazydocker,Go,2019-05-18T08:53:50Z,2026-02-08T06:23:37Z,49564,1568,258,49564,28089
alist,Go,2020-12-23T17:40:29Z,2026-02-08T07:10:30Z,48968,7989,576,48968,6059
terraform,Go,2014-03-13T22:25:48Z,2026-02-08T07:52:07Z,47630,10203,1915,47630,348862
gogs,Go,2014-02-12T01:57:08Z,2026-02-08T05:58:11Z,47536,5078,960,47536,211808
v2ray-core,Go,2015-09-04T11:42:53Z,2026-02-08T05:08:02Z,46929,8892,9,46929,55142
nvm-windows,Go,2014-09-20T16:37:28Z,2026-02-08T01:37:43Z,44851,3723,96,44851,33310
build-web-application-with-golang,Go,2012-08-02T11:49:35Z,2026-02-08T07:09:47Z,44187,10547,135,44187,38293
cobra,Go,2013-09-03T20:40:26Z,2026-02-08T04:38:25Z,43099,3049,345,43099,1974
milvus,Go,2019-09-16T06:43:43Z,2026-02-08T08:35:43Z,42663,3816,995,42663,266858
LocalAI,Go,2023-03-18T22:58:02Z,2026-02-08T07:50:32Z,42662,3537,167,42662,44047
cli,Go,2019-10-03T15:24:53Z,2026-02-08T08:22:06Z,42378,7890,944,42378,74323
tidb,Go,2015-09-06T04:01:52Z,2026-02-08T05:35:28Z,39713,6111,5624,39713,598537
esbuild,Go,2016-06-14T16:08:50Z,2026-02-08T06:55:14Z,39686,1280,586,39686,20186
gorm,Go,2013-10-25T08:31:38Z,2026-02-08T07:55:11Z,39476,4132,517,39476,4777
photoprism,Go,2018-01-27T12:00:15Z,2026-02-08T05:48:32Z,39224,2206,447,39224,323355
bubbletea,Go,2020-01-10T21:04:03Z,2026-02-08T08:23:51Z,39160,1087,153,39160,6051
fiber,Go,2020-01-16T03:59:20Z,2026-02-08T01:32:38Z,39142,1952,47,39142,33266
Fabric,Go,2024-01-03T23:18:31Z,2026-02-08T08:33:21Z,38912,3888,27,38912,138763
istio,Go,2016-11-18T23:57:21Z,2026-02-08T07:10:38Z,37913,8237,489,37913,290424
compose,Go,2013-12-09T11:40:58Z,2026-02-07T19:38:15Z,36953,5717,52,36953,27511
the-way-to-go_ZH_CN,Go,2013-03-24T17:18:38Z,2026-02-08T06:25:32Z,35175,8578,47,35175,12602
headscale,Go,2020-06-21T09:21:05Z,2026-02-08T08:31:28Z,34992,1880,107,34992,23673
vault,Go,2015-02-25T00:15:59Z,2026-02-08T05:36:23Z,34988,4591,1442,34988,345837
Xray-core,Go,2020-11-09T11:23:10Z,2026-02-08T08:31:09Z,34869,4938,40,34869,29186
croc,Go,2017-10-17T15:20:18Z,2026-02-08T08:21:02Z,34092,1343,5,34092,25185
nps,Go,2018-11-04T13:22:51Z,2026-02-07T20:36:15Z,33906,6077,526,33906,9168
harness,Go,2014-02-07T07:54:44Z,2026-02-08T01:15:35Z,33860,2889,83,33860,57874
LeetCode-Go,Go,2017-07-18T00:06:14Z,2026-02-08T06:06:25Z,33800,5765,23,33800,19315
filebrowser,Go,2015-09-11T21:21:58Z,2026-02-08T07:43:33Z,33356,3688,34,33356,23364
1Panel,Go,2022-07-19T15:44:52Z,2026-02-08T06:41:06Z,33258,2947,401,33258,92990
v2ray-core,Go,2019-04-15T10:05:54Z,2026-02-08T07:58:35Z,33184,4981,38,33184,69045
CasaOS,Go,2021-09-26T02:33:09Z,2026-02-08T08:28:57Z,33134,1855,785,33134,182856
k9s,Go,2019-01-25T18:46:02Z,2026-02-08T08:08:20Z,32716,2076,262,32716,67321
wails,Go,2018-12-15T23:14:06Z,2026-02-08T08:24:31Z,32622,1582,297,32622,386273
go-zero,Go,2020-08-07T15:37:57Z,2026-02-08T03:25:37Z,32595,4273,297,32595,32683
AdGuardHome,Go,2016-07-06T10:31:47Z,2026-02-08T08:13:03Z,32461,2240,1268,32461,26375
beego,Go,2012-02-29T02:32:08Z,2026-02-08T01:28:31Z,32415,5622,12,32415,12104
echo,Go,2015-03-01T17:43:01Z,2026-02-08T05:40:43Z,32136,2312,93,32136,6781
restic,Go,2014-04-27T14:07:58Z,2026-02-08T07:18:34Z,32135,1711,516,32135,69339
