repo_name,language,created_at,updated_at,stargazers_count,forks_count,open_issues_count,watchers_count,size
JavaGuide,Java,2018-05-07T13:27:00Z,2026-02-08T07:46:12Z,153765,46113,74,153765,180720
hello-algo,Java,2022-11-04T11:08:34Z,2026-02-08T07:24:25Z,122181,14824,26,122181,411458
GitHub-Chinese-Top-Charts,Java,2019-09-05T03:01:56Z,2026-02-08T08:09:35Z,106065,13486,189,106065,123199
java-design-patterns,Java,2014-08-09T16:45:18Z,2026-02-08T05:32:29Z,93698,27385,221,93698,46783
mall,Java,2018-04-04T01:11:44Z,2026-02-08T07:45:21Z,82874,29655,13,82874,58726
spring-boot,Java,2012-10-19T15:02:57Z,2026-02-08T07:43:05Z,79864,41852,519,79864,211360
advanced-java,Java,2018-10-06T11:38:30Z,2026-02-08T03:39:04Z,78820,19292,1,78820,26635
LeetCodeAnimation,Java,2018-12-06T08:01:22Z,2026-02-08T02:55:16Z,76702,13996,20,76702,509807
elasticsearch,Java,2010-02-08T13:20:56Z,2026-02-08T00:10:36Z,76028,25801,5432,76028,1548724
Java,Java,2016-07-16T10:21:02Z,2026-02-08T08:35:43Z,64963,20947,35,64963,6788
interviews,Java,2017-02-14T18:19:25Z,2026-02-08T07:26:39Z,64862,12936,118,64862,24462
ghidra,Java,2019-03-01T03:27:48Z,2026-02-08T08:36:15Z,64179,7120,1849,64179,398903
spring-framework,Java,2010-12-08T04:04:45Z,2026-02-08T02:06:36Z,59591,38915,343,59591,238252
guava,Java,2014-05-29T16:23:17Z,2026-02-08T07:31:37Z,51460,11143,718,51460,1350565
termux-app,Java,2015-10-23T09:42:46Z,2026-02-08T08:22:45Z,50320,5987,482,50320,4960
dbeaver,Java,2015-10-21T08:26:28Z,2026-02-08T07:13:55Z,48596,4028,3229,48596,206257
RxJava,Java,2013-01-08T20:11:48Z,2026-02-07T17:20:22Z,48523,7605,20,48523,146218
jadx,Java,2013-03-18T17:08:21Z,2026-02-08T05:24:53Z,47225,5421,420,47225,24988
JeecgBoot,Java,2018-11-26T10:40:00Z,2026-02-08T07:00:23Z,45192,15813,50,45192,93427
dubbo,Java,2012-06-19T07:56:02Z,2026-02-07T01:47:00Z,41721,26555,912,41721,61454
MPAndroidChart,Java,2014-04-25T14:29:47Z,2026-02-08T02:55:16Z,38221,9057,2191,38221,21593
halo,Java,2018-03-21T12:56:52Z,2026-02-08T01:34:10Z,37929,10209,243,37929,83006
tutorials,Java,2013-04-29T18:26:36Z,2026-02-08T07:43:10Z,37340,53862,45,37340,118295
arthas,Java,2018-08-29T17:15:57Z,2026-02-08T06:18:43Z,37073,7632,461,37073,63779
NewPipe,Java,2015-09-03T23:39:26Z,2026-02-08T07:36:35Z,37065,3448,1378,37065,85057
hello-algorithm,Java,2020-05-29T05:47:09Z,2026-02-08T05:59:43Z,36018,6465,11,36018,365053
leetcode,Java,2018-09-16T14:03:03Z,2026-02-08T07:35:40Z,35590,9322,0,35590,731992
lottie-android,Java,2016-10-06T22:42:42Z,2026-02-07T17:22:55Z,35574,5447,52,35574,137395
ruoyi-vue-pro,Java,2021-01-24T03:18:25Z,2026-02-08T08:35:21Z,35379,7658,2,35379,184841
glide,Java,2013-07-08T22:52:33Z,2026-02-08T06:20:17Z,35020,6181,629,35020,97802
netty,Java,2010-11-09T09:22:21Z,2026-02-07T18:51:02Z,34778,16280,623,34778,107933
spring-boot-demo,Java,2017-11-10T06:27:29Z,2026-02-08T08:35:36Z,34089,11008,141,34089,14194
selenium,Java,2013-01-14T21:40:56Z,2026-02-08T07:05:23Z,33987,8644,214,33987,2326413
zxing,Java,2011-10-12T14:07:27Z,2026-02-07T17:22:25Z,33841,9430,9,33841,243332
easyexcel,Java,2018-02-06T03:14:08Z,2026-02-08T07:31:13Z,33757,7640,569,33757,26334
AndroidUtilCode,Java,2016-07-30T18:18:32Z,2026-02-08T02:29:56Z,33695,10691,327,33695,47329
keycloak,Java,2013-07-02T13:38:51Z,2026-02-08T07:04:32Z,32709,8036,2515,32709,576527
nacos,Java,2018-06-15T06:49:27Z,2026-02-07T20:36:19Z,32614,13258,218,32614,69689
WxJava,Java,2016-01-06T08:24:05Z,2026-02-07T13:14:00Z,32539,9056,17,32539,20011
kafka,Java,2011-08-15T18:06:16Z,2026-02-08T06:55:07Z,31856,14943,272,31856,274247
conductor,Java,2023-12-08T06:06:09Z,2026-02-08T05:54:22Z,31540,809,127,31540,30425
spring-boot-examples,Java,2016-11-05T05:32:33Z,2026-02-07T07:26:05Z,30643,12304,17,30643,1074
hutool,Java,2014-04-13T07:23:51Z,2026-02-08T04:19:05Z,30347,7668,2,30347,74548
xxl-job,Java,2015-11-28T12:59:34Z,2026-02-07T17:23:25Z,29893,11447,246,29893,38815
apollo,Java,2016-03-04T10:24:23Z,2026-02-08T06:55:00Z,29775,10215,145,29775,56964
awesome-system-design-resources,Java,2023-10-25T01:50:42Z,2026-02-08T08:38:00Z,29730,6783,8,29730,2266
canal,Java,2013-01-13T10:59:52Z,2026-02-07T21:14:14Z,29616,7676,1271,29616,24224
spring-cloud-alibaba,Java,2017-12-01T20:49:15Z,2026-02-07T14:32:44Z,29036,8527,171,29036,56344
SpringAll,Java,2018-05-02T02:48:44Z,2026-02-08T05:59:46Z,29012,8173,34,29012,1069
Telegram,Java,2013-10-25T14:08:10Z,2026-02-08T06:38:00Z,28452,9266,430,28452,640991
druid,Java,2011-11-03T05:12:51Z,2026-02-08T07:34:34Z,28216,8613,2342,28216,91448
vhr,Java,2018-01-04T08:57:51Z,2026-02-08T07:00:59Z,28070,10272,214,28070,8480
SmartTube,Java,2020-07-28T12:53:52Z,2026-02-08T08:35:57Z,28024,1507,3004,28024,101513
JCSprout,Java,2017-12-17T09:06:50Z,2026-02-08T07:18:25Z,27030,7027,45,27030,1191
miaosha,Java,2018-09-14T04:36:24Z,2026-02-07T17:56:46Z,26605,6628,6,26605,65716
Mindustry,Java,2017-04-30T01:24:29Z,2026-02-08T08:15:04Z,26489,3344,94,26489,1900272
kestra,Java,2019-08-24T13:56:15Z,2026-02-08T06:58:41Z,26323,2480,557,26323,90329
incubator-seata,Java,2018-12-28T08:37:22Z,2026-02-07T15:49:38Z,25944,8899,866,25944,30896
flink,Java,2014-06-07T07:00:10Z,2026-02-07T18:35:27Z,25768,13865,275,25768,538224
openapi-generator,Java,2018-05-12T09:57:56Z,2026-02-08T00:56:06Z,25765,7379,5575,25765,951208
fastjson,Java,2011-11-03T06:58:52Z,2026-02-06T06:50:21Z,25723,6459,2112,25723,15513
