repo_name,language,created_at,updated_at,stargazers_count,forks_count,open_issues_count,watchers_count,size
react,JavaScript,2013-05-24T16:15:54Z,2026-02-08T07:52:04Z,242860,50537,1113,242860,914625
javascript-algorithms,JavaScript,2018-03-24T07:47:04Z,2026-02-08T06:10:14Z,195526,31132,388,195526,14828
javascript,JavaScript,2012-11-01T23:13:50Z,2026-02-08T08:11:52Z,148110,26763,186,148110,3724
next.js,JavaScript,2016-10-05T23:32:51Z,2026-02-08T08:44:41Z,137566,30414,3296,137566,2475746
30-seconds-of-code,JavaScript,2017-11-29T17:35:03Z,2026-02-08T08:11:48Z,126708,12434,0,126708,742525
node,JavaScript,2014-11-26T19:57:11Z,2026-02-08T08:05:56Z,115603,34644,2462,115603,1414150
three.js,JavaScript,2010-03-23T18:58:01Z,2026-02-08T06:20:06Z,110776,36268,608,110776,1555559
axios,JavaScript,2014-08-18T22:30:27Z,2026-02-08T03:19:25Z,108568,11504,315,108568,24716
create-react-app,JavaScript,2016-07-17T14:55:11Z,2026-02-08T06:58:57Z,103947,27139,2368,103947,25186
awesome-mac,JavaScript,2016-07-17T15:33:47Z,2026-02-08T08:25:14Z,98591,7367,182,98591,26077
material-ui,JavaScript,2014-08-18T19:11:54Z,2026-02-07T18:56:36Z,97776,32775,1741,97776,708871
Web-Dev-For-Beginners,JavaScript,2020-11-10T02:44:00Z,2026-02-08T06:12:26Z,95260,15125,24,95260,2172815
clean-code-javascript,JavaScript,2016-11-25T22:25:41Z,2026-02-07T20:25:52Z,94289,12501,119,94289,520
svelte,JavaScript,2016-11-20T18:13:05Z,2026-02-08T08:35:43Z,85716,4758,969,85716,118791
uptime-kuma,JavaScript,2021-07-03T01:02:42Z,2026-02-08T08:29:35Z,82525,7371,685,82525,34534
github-readme-stats,JavaScript,2020-07-09T10:34:22Z,2026-02-08T08:48:23Z,78264,30229,242,78264,7216
Font-Awesome,JavaScript,2012-02-17T14:19:43Z,2026-02-08T08:10:59Z,76313,12251,311,76313,138845
json-server,JavaScript,2013-11-27T13:21:13Z,2026-02-08T08:09:49Z,75629,7269,707,75629,4184
reveal.js,JavaScript,2011-06-07T18:54:22Z,2026-02-08T08:10:35Z,70524,16809,883,70524,33668
express,JavaScript,2009-06-26T18:56:01Z,2026-02-08T08:12:06Z,68674,22429,184,68674,9724
Chart.js,JavaScript,2013-03-17T23:56:36Z,2026-02-08T07:46:00Z,67110,11991,525,67110,43713
anime,JavaScript,2016-03-13T21:37:45Z,2026-02-08T07:39:23Z,66395,4440,89,66395,178210
33-js-concepts,JavaScript,2018-09-04T13:27:04Z,2026-02-08T08:11:46Z,66236,9195,0,66236,2786
webpack,JavaScript,2012-03-10T10:08:14Z,2026-02-08T00:37:48Z,65945,9234,212,65945,77179
resume.github.com,JavaScript,2011-02-06T13:39:55Z,2026-02-08T07:26:05Z,62791,1360,71,62791,411
lodash,JavaScript,2012-04-07T04:11:46Z,2026-02-08T03:34:15Z,61605,7124,107,61605,49639
uBlock,JavaScript,2015-04-01T17:51:11Z,2026-02-08T08:47:53Z,61387,3931,17,61387,162293
atom,JavaScript,2012-01-20T18:18:21Z,2026-02-07T23:34:48Z,61010,17305,994,61010,330585
markdown-here,JavaScript,2012-05-13T03:27:22Z,2026-02-08T03:36:46Z,60134,11149,315,60134,17985
jquery,JavaScript,2009-04-03T15:20:14Z,2026-02-07T20:13:02Z,59835,20493,94,59835,36240
drawio-desktop,JavaScript,2017-05-25T20:58:42Z,2026-02-08T08:25:22Z,59368,5583,57,59368,2883
angular.js,JavaScript,2010-01-06T00:34:37Z,2026-02-06T08:52:18Z,58990,27277,461,58990,101796
html5-boilerplate,JavaScript,2010-01-24T18:03:24Z,2026-02-08T07:34:39Z,57386,12321,19,57386,22678
DeepLearning-500-questions,JavaScript,2018-06-27T06:36:45Z,2026-02-08T07:13:51Z,57138,15980,121,57138,207074
gatsby,JavaScript,2015-05-21T22:43:05Z,2026-02-08T01:26:51Z,55971,10240,360,55971,1144285
leetcode,JavaScript,2018-03-30T09:13:51Z,2026-02-08T04:07:00Z,55801,9449,10,55801,126606
anything-llm,JavaScript,2023-06-04T02:29:14Z,2026-02-08T07:48:26Z,54321,5848,274,54321,54063
marktext,JavaScript,2017-11-12T16:05:25Z,2026-02-08T08:43:14Z,53721,3978,1385,53721,72533
pdf.js,JavaScript,2011-04-26T06:32:03Z,2026-02-08T01:05:31Z,52801,10579,484,52801,175611
Ghost,JavaScript,2013-05-04T11:09:13Z,2026-02-08T03:44:52Z,51774,11321,363,51774,413562
prettier,JavaScript,2016-11-29T17:13:37Z,2026-02-07T22:16:34Z,51525,4649,1425,51525,166381
Semantic-UI,JavaScript,2013-04-08T23:32:04Z,2026-02-07T16:26:30Z,51157,4912,1074,51157,113201
chinese-poetry,JavaScript,2016-09-02T03:32:25Z,2026-02-08T06:08:24Z,50937,10307,130,50937,242726
Motrix,JavaScript,2018-12-18T11:45:05Z,2026-02-08T03:38:14Z,50722,4819,771,50722,69808
hiring-without-whiteboards,JavaScript,2017-03-15T05:09:01Z,2026-02-07T18:42:17Z,50415,3883,31,50415,3309
hacker-scripts,JavaScript,2015-11-21T19:05:09Z,2026-02-07T23:54:37Z,49412,6681,68,49412,105
dayjs,JavaScript,2018-04-10T09:26:44Z,2026-02-08T04:29:48Z,48540,2413,1188,48540,5967
algorithm-visualizer,JavaScript,2016-05-15T00:27:45Z,2026-02-08T04:08:34Z,48361,7581,78,48361,21182
moment,JavaScript,2011-03-01T02:46:06Z,2026-02-06T14:20:42Z,48075,7025,290,48075,22191
htmx,JavaScript,2020-04-13T16:17:51Z,2026-02-08T08:23:48Z,47385,1565,659,47385,127529
serverless,JavaScript,2015-04-21T03:48:40Z,2026-02-06T18:50:28Z,46951,5740,1218,46951,102740
react,JavaScript,2018-06-02T04:08:16Z,2026-02-08T00:19:33Z,46940,4280,0,46940,3141
30-Days-Of-JavaScript,JavaScript,2019-12-23T14:07:40Z,2026-02-08T04:33:57Z,46051,10415,368,46051,124993
monaco-editor,JavaScript,2016-06-07T16:56:31Z,2026-02-08T05:57:48Z,45532,3979,797,45532,139798
awesome-cheatsheets,JavaScript,2017-11-09T02:47:15Z,2026-02-08T07:10:25Z,45313,6659,131,45313,8863
zx,JavaScript,2021-05-05T05:50:01Z,2026-02-08T03:34:37Z,45130,1198,32,45130,3759
meteor,JavaScript,2012-01-19T01:58:17Z,2026-02-07T14:35:27Z,44771,5265,328,44771,143037
Leaflet,JavaScript,2010-09-22T16:57:44Z,2026-02-08T01:40:55Z,44471,6085,539,44471,59713
reactjs-interview-questions,JavaScript,2018-05-31T17:17:01Z,2026-02-08T06:39:23Z,44205,10283,6,44205,6680
edex-ui,JavaScript,2017-01-28T09:35:02Z,2026-02-08T07:49:23Z,44093,2977,6,44093,31579
EasySpider,JavaScript,2020-07-18T02:41:27Z,2026-02-08T07:39:39Z,44059,5390,266,44059,146734
parcel,JavaScript,2017-08-07T16:36:47Z,2026-02-08T08:12:16Z,44041,2278,585,44041,63021
pm2,JavaScript,2013-05-21T03:25:25Z,2026-02-07T21:51:38Z,42920,2679,1081,42920,13555
everything-claude-code,JavaScript,2026-01-18T00:51:51Z,2026-02-08T08:51:21Z,42025,5199,9,42025,13090
