repo_name,language,created_at,updated_at,stargazers_count,forks_count,open_issues_count,watchers_count,size
SecLists,PHP,2012-02-19T01:30:18Z,2026-02-08T08:36:15Z,68677,24894,9,68677,3004294
coolify,PHP,2021-01-25T20:54:01Z,2026-02-08T08:20:29Z,50374,3543,616,50374,54798
framework,PHP,2013-01-10T21:27:28Z,2026-02-07T21:01:57Z,34482,11771,101,34482,96406
server,PHP,2016-06-02T07:44:14Z,2026-02-08T07:57:59Z,34049,4721,3014,34049,6107486
symfony,PHP,2010-01-04T14:21:21Z,2026-02-08T07:39:04Z,30929,9806,659,30929,318901
jQuery-File-Upload,PHP,2010-12-01T15:35:32Z,2026-02-07T06:35:26Z,30837,7829,52,30837,4767
composer,PHP,2011-06-08T08:53:00Z,2026-02-08T00:38:16Z,29318,4742,141,29318,28814
filament,PHP,2020-03-19T00:19:18Z,2026-02-08T08:23:53Z,29114,4075,26,29114,486962
Faker,PHP,2011-10-14T22:49:02Z,2026-02-06T14:21:43Z,26712,3595,225,26712,10094
bagisto,PHP,2018-09-10T09:12:41Z,2026-02-08T08:36:20Z,25387,2961,84,25387,340218
monica,PHP,2017-02-17T00:02:58Z,2026-02-08T07:42:38Z,24216,2414,760,24216,152155
guzzle,PHP,2011-02-28T02:44:05Z,2026-02-08T03:41:44Z,23453,2386,35,23453,10139
livewire,PHP,2019-02-12T16:53:29Z,2026-02-08T02:04:08Z,23429,1717,17,23429,40930
firefly-iii,PHP,2014-06-28T07:37:32Z,2026-02-08T07:27:53Z,22311,2052,132,22311,312894
DesignPatternsPHP,PHP,2011-08-22T05:24:31Z,2026-02-04T14:35:16Z,22192,4549,1,22192,6214
PHPMailer,PHP,2011-08-23T07:57:17Z,2026-02-08T04:43:15Z,22000,9858,40,22000,29182
monolog,PHP,2011-02-17T02:07:15Z,2026-02-06T08:08:42Z,21386,1896,33,21386,4950
matomo,PHP,2011-03-30T21:18:17Z,2026-02-08T06:04:05Z,21262,2806,2545,21262,341249
laravel-crm,PHP,2021-06-05T14:18:48Z,2026-02-08T08:36:22Z,21163,1374,141,21163,49294
WordPress,PHP,2011-12-01T07:05:17Z,2026-02-08T05:51:19Z,20872,12926,9,20872,584509
phpunit,PHP,2009-12-24T13:16:23Z,2026-02-08T08:42:04Z,19994,2230,121,19994,219669
laravel-debugbar,PHP,2013-09-05T10:26:54Z,2026-02-08T03:42:31Z,19079,1605,79,19079,14919
