repo_name,language,created_at,updated_at,stargazers_count,forks_count,open_issues_count,watchers_count,size
rust,Rust,2010-06-16T20:39:03Z,2026-02-08T08:30:30Z,110116,14452,12095,110116,839792
rustdesk,Rust,2020-09-28T15:36:08Z,2026-02-08T08:31:12Z,107088,15910,103,107088,68689
deno,Rust,2018-05-15T01:34:26Z,2026-02-08T06:23:22Z,106085,5886,2596,106085,194612
tauri,Rust,2019-07-13T09:09:37Z,2026-02-08T08:29:59Z,102428,3369,1343,102428,101698
uv,Rust,2023-10-02T20:24:11Z,2026-02-08T07:44:03Z,78812,2537,2637,78812,134614
zed,Rust,2021-02-20T03:01:06Z,2026-02-08T08:35:48Z,74946,6867,3484,74946,383380
union,Rust,2023-05-16T22:33:39Z,2026-02-07T15:31:51Z,74342,3844,183,74342,482560
alacritty,Rust,2016-02-18T05:02:30Z,2026-02-08T07:43:31Z,62324,3296,331,62324,14529
sway,Rust,2021-01-19T20:54:33Z,2026-02-08T06:42:42Z,61966,5432,886,61966,114213
rustlings,Rust,2015-09-15T02:25:18Z,2026-02-08T07:54:00Z,61742,11135,87,61742,4214
ripgrep,Rust,2016-03-11T02:02:33Z,2026-02-08T08:26:51Z,59664,2392,113,59664,5469
codex,Rust,2025-04-13T05:37:54Z,2026-02-08T08:34:26Z,59497,7797,1088,59497,98682
Magisk,Rust,2016-09-08T12:42:53Z,2026-02-08T07:50:59Z,58577,16681,41,58577,61732
fuel-core,Rust,2020-08-27T21:12:14Z,2026-02-07T20:50:26Z,57378,2860,181,57378,910271
bat,Rust,2018-04-21T10:52:23Z,2026-02-08T08:26:42Z,57025,1449,343,57025,34734
meilisearch,Rust,2018-04-23T11:45:28Z,2026-02-08T07:33:39Z,55790,2361,295,55790,87001
awesome-rust,Rust,2014-07-17T10:45:10Z,2026-02-08T06:06:00Z,55494,3169,11,55494,7765
vaultwarden,Rust,2018-02-17T22:40:20Z,2026-02-08T05:10:47Z,54651,2533,27,54651,11839
ChatGPT,Rust,2022-12-07T09:43:02Z,2026-02-08T03:47:36Z,54392,6221,918,54392,32499
starship,Rust,2019-04-02T03:23:12Z,2026-02-08T01:27:15Z,53981,2360,971,53981,45076
typst,Rust,2019-09-24T21:41:56Z,2026-02-08T06:17:42Z,51128,1449,1138,51128,137195
Pake,Rust,2022-10-14T09:32:57Z,2026-02-08T05:55:14Z,45636,8983,0,45636,62584
ruff,Rust,2022-08-09T17:17:44Z,2026-02-08T08:21:48Z,45629,1757,1904,45629,121239
bevy,Rust,2020-01-18T21:13:55Z,2026-02-08T04:59:09Z,44531,4370,3235,44531,157762
fuels-rs,Rust,2021-10-31T22:33:54Z,2026-02-07T12:10:53Z,43439,1360,69,43439,20116
helix,Rust,2020-06-01T04:26:56Z,2026-02-08T08:08:10Z,42826,3301,1424,42826,78129
fd,Rust,2017-05-09T21:27:10Z,2026-02-08T08:27:59Z,41511,973,160,41511,2239
hyperswitch,Rust,2022-10-17T11:18:28Z,2026-02-08T08:29:01Z,40149,4565,1385,40149,279038
nushell,Rust,2019-05-10T16:59:42Z,2026-02-08T08:20:47Z,38190,2037,1569,38190,59956
lapce,Rust,2018-02-06T08:41:06Z,2026-02-08T08:08:19Z,38028,1227,872,38028,28640
polars,Rust,2020-05-13T19:45:33Z,2026-02-08T08:16:45Z,37340,2603,2738,37340,199669
spacedrive,Rust,2021-09-27T05:09:04Z,2026-02-08T07:58:23Z,36898,1195,20,36898,259038
servo,Rust,2012-02-08T19:07:25Z,2026-02-08T06:12:30Z,35381,3467,3062,35381,1791888
dioxus,Rust,2021-01-15T01:57:26Z,2026-02-08T08:38:31Z,34598,1536,639,34598,51724
zoxide,Rust,2020-03-05T13:11:40Z,2026-02-08T08:42:03Z,33227,730,151,33227,4318
swc,Rust,2017-12-22T11:40:14Z,2026-02-08T01:26:07Z,33209,1366,409,33209,420331
tabby,Rust,2023-03-16T09:18:01Z,2026-02-08T08:10:37Z,32861,1682,292,32861,112117
comprehensive-rust,Rust,2022-12-21T15:17:24Z,2026-02-08T03:06:46Z,32617,1967,163,32617,27033
sniffnet,Rust,2022-07-31T21:55:56Z,2026-02-08T08:38:36Z,32578,1192,48,32578,329040
fish-shell,Rust,2012-05-10T03:00:55Z,2026-02-08T07:47:40Z,32508,2222,524,32508,153535
yew,Rust,2017-12-16T14:19:02Z,2026-02-07T23:57:27Z,32398,1451,153,32398,17076
yazi,Rust,2023-07-08T11:45:55Z,2026-02-08T08:00:45Z,32326,705,67,32326,7202
firecracker,Rust,2017-10-19T06:18:47Z,2026-02-08T08:09:41Z,32320,2241,70,32320,38169
linera-protocol,Rust,2021-12-19T04:09:21Z,2026-02-07T19:24:00Z,32065,2278,569,32065,214966
influxdb,Rust,2013-09-26T14:31:10Z,2026-02-07T23:39:58Z,31207,3695,2126,31207,206602
just,Rust,2016-06-17T06:08:08Z,2026-02-08T08:42:22Z,31049,665,388,31049,15230
tokio,Rust,2016-09-09T22:31:36Z,2026-02-08T07:51:40Z,31020,2913,398,31020,16140
surrealdb,Rust,2021-12-09T15:03:29Z,2026-02-08T06:55:43Z,31013,1121,657,31013,48590
goose,Rust,2024-08-23T19:03:36Z,2026-02-08T08:10:01Z,30064,2717,346,30064,1051081
rust-course,Rust,2018-08-07T05:01:21Z,2026-02-08T03:59:23Z,29898,2538,64,29898,11352
turborepo,Rust,2021-10-05T17:37:11Z,2026-02-08T03:06:26Z,29757,2244,141,29757,790790
iced,Rust,2019-07-15T22:34:46Z,2026-02-08T03:24:11Z,29403,1483,394,29403,22350
czkawka,Rust,2020-09-01T17:37:29Z,2026-02-08T08:36:04Z,29104,955,421,29104,8677
delta,Rust,2019-06-24T15:00:13Z,2026-02-08T08:16:53Z,28959,469,358,28959,11177
zellij,Rust,2020-09-01T14:04:28Z,2026-02-08T08:37:59Z,28814,953,1477,28814,138422
qdrant,Rust,2020-05-30T21:37:01Z,2026-02-08T08:34:45Z,28644,2030,460,28644,42983
atuin,Rust,2020-10-04T23:01:58Z,2026-02-08T05:53:18Z,28190,774,441,28190,47522
egui,Rust,2019-01-13T15:39:15Z,2026-02-08T02:47:11Z,28010,1948,1063,28010,89288
hyperfine,Rust,2018-01-13T15:49:54Z,2026-02-08T04:36:18Z,27450,447,65,27450,2063
anki,Rust,2012-12-21T08:03:31Z,2026-02-08T07:42:32Z,26313,2797,344,26313,47331
pingora,Rust,2023-05-05T20:03:08Z,2026-02-08T07:29:04Z,26075,1571,237,26075,5064
chroma,Rust,2022-10-05T17:58:44Z,2026-02-08T08:32:53Z,26026,2045,507,26026,863940
fhevm,Rust,2025-05-02T10:48:20Z,2026-02-08T03:18:21Z,25803,2271,75,25803,61360
Rocket,Rust,2016-03-18T02:50:18Z,2026-02-07T17:53:20Z,25654,1620,78,25654,8454
jj,Rust,2020-12-18T04:05:27Z,2026-02-08T08:22:59Z,25568,912,1006,25568,87315
Rust,Rust,2018-09-13T13:29:27Z,2026-02-08T04:57:22Z,25427,2524,4,25427,1514
axum,Rust,2021-05-30T09:22:25Z,2026-02-08T07:51:31Z,24882,1331,80,24882,5699
mise,Rust,2023-01-09T14:44:21Z,2026-02-08T08:10:13Z,24335,870,30,24335,37187
actix-web,Rust,2017-09-30T15:30:02Z,2026-02-08T07:39:31Z,24300,1836,227,24300,17399
exa,Rust,2014-05-22T12:45:16Z,2026-02-07T22:42:01Z,24297,663,214,24297,3747
difftastic,Rust,2018-12-18T11:19:45Z,2026-02-08T07:04:40Z,24092,430,258,24092,1700812
Graphite,Rust,2020-04-26T07:29:29Z,2026-02-08T08:39:01Z,24039,1066,504,24039,44896
wezterm,Rust,2018-02-07T05:35:46Z,2026-02-08T08:06:11Z,23975,1186,1582,23975,309626
fnm,Rust,2019-01-16T13:32:14Z,2026-02-08T08:24:36Z,23792,607,364,23792,4206
tree-sitter,Rust,2013-11-06T06:16:00Z,2026-02-08T07:53:25Z,23725,2400,127,23725,21002
tools,Rust,2020-02-20T05:57:33Z,2026-02-07T14:33:32Z,23518,652,94,23518,144961
biome,Rust,2023-07-27T20:30:22Z,2026-02-08T06:50:49Z,23491,846,500,23491,238110
coreutils,Rust,2013-08-02T16:22:56Z,2026-02-08T07:36:49Z,22704,1762,712,22704,36568
Antigravity-Manager,Rust,2025-11-26T10:47:13Z,2026-02-08T08:40:41Z,21985,2491,1111,21985,55257
RustPython,Rust,2018-05-28T19:27:01Z,2026-02-08T07:49:24Z,21767,1401,371,21767,85851
slint,Rust,2020-05-04T08:53:03Z,2026-02-07T23:11:11Z,21695,812,822,21695,62223
gitui,Rust,2020-03-16T14:38:01Z,2026-02-08T04:13:26Z,21378,692,279,21378,65856
vector,Rust,2018-08-27T16:57:34Z,2026-02-08T06:02:24Z,21289,1997,2253,21289,132190
flow,Rust,2016-03-04T12:26:34Z,2026-02-08T01:35:37Z,21164,842,0,21164,2099
mdBook,Rust,2015-07-07T00:57:25Z,2026-02-08T00:17:19Z,21131,1813,665,21131,7150
sonic,Rust,2019-02-26T13:16:58Z,2026-02-07T13:35:00Z,21130,615,73,21130,2605
gleam,Rust,2016-06-30T20:52:30Z,2026-02-08T05:24:46Z,21097,909,207,21097,25009
rustfs,Rust,2023-11-23T13:45:10Z,2026-02-08T08:27:45Z,21041,914,83,21041,13615
neon,Rust,2021-03-26T14:20:47Z,2026-02-08T08:42:16Z,20895,874,515,20895,83685
wasmer,Rust,2018-10-11T10:15:53Z,2026-02-08T03:45:09Z,20393,923,179,20393,1688764
leptos,Rust,2022-07-31T20:40:30Z,2026-02-08T07:47:09Z,19927,836,137,19927,17172
xi-editor,Rust,2016-04-26T23:03:23Z,2026-02-08T08:19:14Z,19850,708,154,19850,9704
eza,Rust,2023-07-28T08:35:55Z,2026-02-08T08:10:59Z,19840,384,324,19840,8319
cube,Rust,2018-09-16T18:58:46Z,2026-02-08T05:44:54Z,19433,1951,882,19433,420495
niri,Rust,2023-08-10T10:53:14Z,2026-02-08T08:22:00Z,19361,687,485,19361,10838
candle,Rust,2023-06-19T16:06:31Z,2026-02-08T07:47:22Z,19303,1416,601,19303,17529
RustScan,Rust,2020-07-11T20:00:41Z,2026-02-08T07:08:57Z,19166,1285,52,19166,14609
Bend,Rust,2023-08-29T20:44:32Z,2026-02-07T13:11:13Z,19157,468,102,19157,74697
SpacetimeDB,Rust,2023-06-17T07:28:29Z,2026-02-08T04:19:08Z,19043,684,727,19043,70405
spotify-tui,Rust,2019-08-16T19:31:53Z,2026-02-08T03:58:11Z,18979,572,307,18979,2403
relay,Rust,2015-08-10T22:09:16Z,2026-02-07T17:00:00Z,18933,1876,808,18933,7011376
nautilus_trader,Rust,2018-06-25T06:26:16Z,2026-02-08T08:28:24Z,18867,2252,66,18867,179718
oxc,Rust,2023-02-09T05:46:51Z,2026-02-08T06:56:46Z,18853,819,434,18853,529373
universal-android-debloater,Rust,2021-10-07T12:08:51Z,2026-02-08T08:13:43Z,18757,985,580,18757,9300
hurl,Rust,2020-08-25T14:50:56Z,2026-02-08T08:22:17Z,18484,703,192,18484,537469
ratatui,Rust,2023-02-12T21:56:20Z,2026-02-08T08:31:43Z,18216,572,198,18216,137016
gitbutler,Rust,2023-01-31T14:56:22Z,2026-02-08T08:40:01Z,18089,780,683,18089,164497
ruffle,Rust,2019-04-25T17:53:32Z,2026-02-08T03:30:38Z,17736,967,5795,17736,172167
wasmtime,Rust,2017-08-29T14:01:55Z,2026-02-08T08:28:12Z,17553,1615,835,17553,139682
book,Rust,2015-12-11T22:49:49Z,2026-02-08T08:30:21Z,17345,3943,361,17345,72057
turso,Rust,2023-08-26T09:21:36Z,2026-02-08T06:29:31Z,17256,717,545,17256,54257
pyxel,Rust,2018-06-10T04:58:54Z,2026-02-08T06:47:45Z,17066,912,16,17066,368872
asciinema,Rust,2011-11-21T21:45:44Z,2026-02-08T05:30:41Z,16794,1002,6,16794,4883
cc-switch,Rust,2025-08-04T14:16:16Z,2026-02-08T08:40:13Z,16789,1042,180,16789,30706
screenpipe,Rust,2024-06-19T13:23:56Z,2026-02-08T03:53:49Z,16752,1378,70,16752,390177
navi,Rust,2019-09-20T13:38:20Z,2026-02-08T05:32:18Z,16708,534,102,16708,1473
diem,Rust,2019-04-02T21:51:45Z,2026-02-07T13:41:03Z,16704,2571,360,16704,124600
zola,Rust,2016-12-06T02:57:25Z,2026-02-08T08:38:49Z,16576,1115,351,16576,112809
tikv,Rust,2015-12-31T04:51:32Z,2026-02-08T06:51:14Z,16511,2244,1665,16511,131285
sqlx,Rust,2019-12-28T10:40:57Z,2026-02-08T07:39:34Z,16497,1552,718,16497,9624
wgpu,Rust,2018-09-13T19:18:50Z,2026-02-08T06:08:27Z,16310,1206,1100,16310,77350
clap,Rust,2015-02-25T13:36:33Z,2026-02-08T02:14:50Z,16049,1146,396,16049,20640
rust-analyzer,Rust,2017-12-21T19:24:42Z,2026-02-08T05:27:40Z,16021,1937,1928,16021,110145
redox,Rust,2015-04-20T17:35:19Z,2026-02-08T03:17:31Z,15999,972,183,15999,26061
hyper,Rust,2014-08-30T21:14:33Z,2026-02-08T01:46:31Z,15912,1713,242,15912,14363
carbonyl,Rust,2023-01-20T10:58:22Z,2026-02-08T01:22:26Z,15898,333,79,15898,283
Seelen-UI,Rust,2024-02-16T18:03:35Z,2026-02-08T08:07:29Z,15789,484,127,15789,60841
lsd,Rust,2018-11-24T11:04:12Z,2026-02-08T01:50:32Z,15417,483,186,15417,1685
pyo3,Rust,2017-05-13T05:22:06Z,2026-02-08T07:39:42Z,15289,936,323,15289,53956
x-algorithm,Rust,2026-01-19T23:12:35Z,2026-02-08T08:22:59Z,15093,2635,0,15093,100
