repo_name,language,created_at,updated_at,stargazers_count,forks_count,open_issues_count,watchers_count,size
freeCodeCamp,TypeScript,2014-12-24T17:49:19Z,2026-02-08T08:51:33Z,436886,43335,334,436886,548679
developer-roadmap,TypeScript,2017-03-15T13:45:52Z,2026-02-08T08:46:39Z,348713,43698,31,348713,359090
vue,TypeScript,2013-07-29T03:24:51Z,2026-02-08T02:36:45Z,209904,33894,622,209904,32152
vscode,TypeScript,2015-09-03T20:23:38Z,2026-02-08T08:20:13Z,181510,37795,13653,181510,1123791
openclaw,TypeScript,2025-11-24T10:16:47Z,2026-02-08T08:56:33Z,174843,28611,4627,174843,180399
n8n,TypeScript,2019-06-22T09:24:21Z,2026-02-08T08:43:51Z,173535,54633,1312,173535,376011
tech-interview-handbook,TypeScript,2016-07-05T05:00:48Z,2026-02-08T08:43:34Z,137489,16433,59,137489,32858
dify,TypeScript,2023-04-12T07:40:24Z,2026-02-08T08:48:01Z,129032,20070,740,129032,296378
excalidraw,TypeScript,2020-01-02T01:04:43Z,2026-02-08T08:50:19Z,116241,12428,2776,116241,94743
iptv,TypeScript,2018-11-14T22:00:57Z,2026-02-08T08:28:37Z,111205,5557,320,111205,1148824
TypeScript,TypeScript,2014-06-17T15:28:39Z,2026-02-08T06:47:30Z,107722,13220,5443,107722,2937437
ui,TypeScript,2023-01-04T12:43:27Z,2026-02-08T08:57:06Z,106270,7844,1782,106270,45477
opencode,TypeScript,2025-04-30T20:08:00Z,2026-02-08T08:55:44Z,99981,9540,4733,99981,166553
angular,TypeScript,2014-09-18T16:12:01Z,2026-02-08T02:56:24Z,99814,27050,1137,99814,609963
ant-design,TypeScript,2015-04-24T15:37:24Z,2026-02-08T07:44:16Z,97463,54489,1369,97463,253177
supabase,TypeScript,2019-10-12T05:56:49Z,2026-02-08T08:53:19Z,97350,11488,855,97350,2273994
clash-verge-rev,TypeScript,2023-11-21T18:24:03Z,2026-02-08T08:52:30Z,96394,7075,146,96394,73188
gemini-cli,TypeScript,2025-04-17T17:04:31Z,2026-02-08T08:56:05Z,93917,11073,1991,93917,82893
puppeteer,TypeScript,2017-05-09T22:16:13Z,2026-02-08T08:18:55Z,93521,9369,290,93521,1321592
tailwindcss,TypeScript,2017-10-06T14:59:14Z,2026-02-08T08:46:57Z,93417,5042,75,93417,113025
immich,TypeScript,2022-02-03T15:56:27Z,2026-02-08T08:30:56Z,91952,4874,745,91952,275183
storybook,TypeScript,2016-03-18T04:23:44Z,2026-02-08T08:30:08Z,89213,9862,2233,89213,1096948
NextChat,TypeScript,2023-03-10T18:27:54Z,2026-02-08T08:44:48Z,87248,60434,790,87248,20721
mermaid,TypeScript,2014-11-01T23:52:32Z,2026-02-08T07:37:05Z,85902,8601,1618,85902,261258
realworld,TypeScript,2016-02-26T20:49:53Z,2026-02-08T06:17:48Z,82803,7560,40,82803,35035
playwright,TypeScript,2019-11-15T18:32:42Z,2026-02-08T08:02:56Z,82298,5095,596,82298,225246
firecrawl,TypeScript,2024-04-15T21:02:29Z,2026-02-08T08:50:45Z,80401,5948,159,80401,82498
servers,TypeScript,2024-11-19T01:10:17Z,2026-02-08T08:47:19Z,78242,9477,301,78242,28480
vite,TypeScript,2020-04-21T05:03:57Z,2026-02-08T08:24:08Z,78035,7792,627,78035,65420
hoppscotch,TypeScript,2019-08-21T13:15:24Z,2026-02-08T07:05:13Z,77806,5561,632,77806,95414
code-server,TypeScript,2019-02-27T16:50:41Z,2026-02-08T06:25:01Z,76161,6499,171,76161,54316
nest,TypeScript,2017-02-04T20:12:52Z,2026-02-08T08:50:40Z,74487,8197,63,74487,477933
Stirling-PDF,TypeScript,2023-01-27T18:22:42Z,2026-02-08T08:26:28Z,73920,6284,414,73920,230994
lobehub,TypeScript,2023-05-21T07:19:12Z,2026-02-08T08:48:44Z,72067,14613,823,72067,671042
grafana,TypeScript,2013-12-11T15:59:56Z,2026-02-08T06:46:11Z,72056,13426,3668,72056,1507532
screenshot-to-code,TypeScript,2023-11-14T17:53:32Z,2026-02-08T08:37:27Z,71605,8851,137,71605,7262
strapi,TypeScript,2015-09-30T15:34:48Z,2026-02-08T08:48:55Z,71242,9470,749,71242,615853
superset,TypeScript,2015-07-21T18:55:34Z,2026-02-08T07:07:36Z,70465,16654,1097,70465,886667
tabby,TypeScript,2016-12-23T09:06:10Z,2026-02-08T07:49:32Z,68756,3862,2557,68756,98537
echarts,TypeScript,2013-04-03T03:18:59Z,2026-02-08T08:09:37Z,65661,19844,1811,65661,264215
